,heading,date,link
40,"ECE BE PROJECT SCHEDULE-2Published By: Dr BHAWNA AGGARWAL, ASSISTANT PROFESSOR, ELECTRONICS AND COMMUNICATION ENGINEERING",21-05-2019,https://www.imsnsit.org/imsnsit/plum_url.php?oOjGjlqwTRn71XPIr3Y1Fhg5EQb6vvGoXXZNZPqTi8ebUX9Notmd121bc2Xssyf12Af1mhPiBBBXIcFfjjfi2eDQp0sutDvs2A6ry+cNnfeTadEpPDNhuWrbDI9rz28/eZkn0tIRhiTQUMc1dQciSUsOiSGpxrCZE6qBq/RhtsT1qnI8aFDKY5QKYFe0PKM1CoT/QGH14srDJuSk3P2p+A==
41,"ECE BE PROJECT SCHEDULE -1Published By: Dr BHAWNA AGGARWAL, ASSISTANT PROFESSOR, ELECTRONICS AND COMMUNICATION ENGINEERING",21-05-2019,https://www.imsnsit.org/imsnsit/plum_url.php?H1EVepvqrJ4fmOkFRI9LOulGXlF6Eb+ts83tXO6bBCg2jhZZmSL9oeWUoivLsxzGLpsZHKCxWvha4ASr9cB0d5EbpxL4Jh8ns4MgSN4sAyHS9MRoUlk7pCV8/AeZ31PmpHbzMM2e403YsuV9sZzhlaEfpiwqAzzqKyhtRMYEx3tovYsvL7RYJe62cKb/alVFJZNU+0/LFXK7tnERMmF5SQ==
42,"B.E. (ICE) Seventh Semester-Project 1 (ICC 23) for next academic session (July/August-2019)Published By: Prof AMAR NATH JHA, PROFESSOR, INSTRUMENTATION AND CONTROL ENGINEERING",17-05-2019,https://www.imsnsit.org/imsnsit/plum_url.php?Qfub7x/gEod9ZHJp6Rvnga31ozD64iEpublcJ/CA1pccpLAowIvml6D3wMWfAlJgIeJyLcVMG55iQ1TNRE0VIqBiiJGu+svmBKmavb/irbmCtVWv7XZoVbIz+HMq3N+kbF72IdIouPSZg1EgLqn2mjWahmNtu/NLBG/Krad3NKRaeJiCZtGmBAQ6unypx8zm26ZVi07JbVtRm7bAFrV85A5Jbpv7pnONYi0bsy/bAdkOmmEVT+4IaCuDF86mU1ox
43,"Notice & Guidelines for final year ECE students regarding their Project - revisedPublished By: Dr BHAWNA AGGARWAL, ASSISTANT PROFESSOR, ELECTRONICS AND COMMUNICATION ENGINEERING",16-05-2019,https://www.imsnsit.org/imsnsit/plum_url.php?ta2sxHiUGsIxe5cVqjr9rnjAExAXB7OZuoGqWpkORJV5f2x3zCG0F/IVOn5CFnjKZxU+/TC2VncHsOCghfxw3kfoLaraDyl2PfPeK6Vq6Z8tCiDe4OKhCQhkT6MUkhnqg2sFKigFGLbobEwZxb44BQBXxXjGPeL9EjFujhPefTJq59DF5+9dhNu4bb23oAqBUdzEz/Nj5r5oT3Xx3kNvvLyinCK7nrSLu7heivNAQGTj0rxvr0ne78r0OyG2HmN+
44,"ECE BE Project TitlePublished By: Dr BHAWNA AGGARWAL, ASSISTANT PROFESSOR, ELECTRONICS AND COMMUNICATION ENGINEERING",16-05-2019,https://www.imsnsit.org/imsnsit/plum_url.php?Z2maueNHnM/lcMwe7LUBYAx+Rk+xR3Bgiz+GTLYFHa0MwD4LdFgx5LKiU2mC8zhmO0/h2mQJsw+bKb1EblpfBbDc4IxAoaCqJ6QXHaoMdqkJZhCe5xxJ49ABo/S5/noIFs8AK3hmk7I1OnngBS9Q0ZuIXa26Mc/7t0uiQ1rGrf2OeI7RuOibTP/T0DRiuOR3dF0eyEO00xb2plgmp7h11A==
45,"Invitation - Award for professionals and organization by IETEPublished By: Dr. ANAND GUPTA, ASSOCIATE PROFESSOR, COMPUTER ENGINEERING",16-05-2019,https://www.imsnsit.org/imsnsit/plum_url.php?LhgTNbMYZXgm4p+WuGJZuOL1ZB7JBbEb34v/ZRoiLK6uOXJDxqeqJxJvjKwiSkhhYmcAnR8j2T+ItZYJ4i9bTWjzV5A6Rwg0QGUT5LmpqgBF2yroZg42P7UTCSHk6UBiUd6p9/lRLocuHJC5hApD26LR9cvpzH1fyVb7F4Jm/I5C4eiWDH0hawFz8jsU3dsAvtADhBj7pM4vp6/T38Ky0Q==
46,"Notice for rescheduling of Practical Exams : EC220, SPC04, SPD15 (Division of ECE)Published By: Dr KUNWAR SINGH, PRACTICAL SUPERINTENDENT, ELECTRONICS AND COMMUNICATION ENGINEERING",16-05-2019,https://www.imsnsit.org/imsnsit/plum_url.php?+NZfPSOqsaENGp0Ib5ALwQY1L5omxsS3fU/oPOEmm0v1SuLAcNC+jx9iwtF1c1xI4PJqHbNXeMcZSggvzhomw1nxqlbEm+8TUeQTaQ57ThRUO5+I+dx+c7X04I56tG5pDKstR0z9FJ+v8Waio/LSbBFEDysD/3IAdnkeL5W4C4T2n9DbX0SjEbL15u9D5mDu
47,"Notice regarding B T P guidelines for final year ICE studentsPublished By: Prof AMAR NATH JHA, PROFESSOR, INSTRUMENTATION AND CONTROL ENGINEERING",10-05-2019,https://www.imsnsit.org/imsnsit/plum_url.php?DyRY1vNC6Y7SSBJ7DsWM5lav5dxpveTrShNGtqjeHTkoM1adaPDDXLbIAmfN8Mckv88Dlc+T46MyAL8smZEworDd/PNTDMP+j2Qug45K1XCuYJqljh+a0X8TWPe3hbkTOneEsKzeKD5YimZ5BXGhGCuUorPnktoRD9giqihsUFmaC8BvI/Dk6tGGPjBze7HAUg7hNYWGzQZCvDqFre9czU3eVKmpR40rKrjLZdCXXN0VMn3MP6MPw/RITzOhQ68/
48,"DASA Students Fee NoticePublished By:  ABHISHEK FAUJDAR, SENIOR SYSTEM ANALYST, CENTRAL COMPUTER CENTER",09-05-2019,https://www.imsnsit.org/imsnsit/plum_url.php?NuWtte2p4ajlsWcshspVSgMdDnf+QZull46NvXy1Pvtl/d4s8X+wFdxCe1YX0imCFMZ3oPPxh2cX928zFMQY9/Mj18/SM5R9mp7cTub/JvVdaUp1jWorH2SL9K1caxu0ziaQoFOGu9ryh8bySj1bKqk5m61sGcbjL4GInwmnASgXLaz3svYs6nTcrvwaln0AFB5P6dfPZp3gv9M5ZRcQ3w==
49,"Hostel and Mess fees for academic session 2019-20Published By: PROF SHREE PRAKASH SINGH, CHIEF WARDEN, HOSTEL",08-05-2019,https://www.imsnsit.org/imsnsit/plum_url.php?fHbvQgR6U069ZomKJQ4PJE14fvaHIuPO06vpR+kjWdwZnvnrkpA+nb5/NuF8o6teZ46NOzWYYMuuccIFSfYyklUALf6ldTdiFaBhgoMTkrjjbbQJz0cTojiMr1Hr2Qm9lbmROm6ph/6YkIjJ4wZuaYLlIPN3I9TW+A8eLlmff0manxKQMnfZuvndm3DLmKeWHgEu3W0DElmx2SlboWJIk1oMSdhNHy2+VzJjmniVCbs4s570lGLFbo4ITvSv9nfi
