,heading,date,link
10,"REVISED ELECTIVE TIME TABLE IF ICE FIFTH AND SEVENTH SEMPublished By: Ms. MANISHA, ASSISTANT PROFESSOR, INSTRUMENTATION AND CONTROL ENGINEERING",11-07-2019,https://www.imsnsit.org/imsnsit/plum_url.php?f7pbj7pCcj4WYQDnweDid1UKLO3m2aVCN3zP3lmpSFsXXxD8plWgmRUmd1R209SETOtbPXmcc+0NA95ixtxOQrdJgzkgW+G5AhgBTezR9YZDELtDr36lbPIoaLfsPwTl+jm6kgAJ/JbadAMCZXyro80BeOhSNCnybP7hBw1nfeE8xTdEZZw4teqnS+3Hch6OSXz819dGetRIVszwZ5Wc4Kd+89k4VxRPIHBmmpR5DuvQvbTUmJiGUtscfRgFOkjP
11,"Prime Minister Research Fellows (PMRF) ProgramPublished By:  HIMANSHU SINGHAL, SENIOR SYSTEM ANALYST-1, UNIVERSITY MANAGEMENT CENTRE, CENTRAL COMPUTER CENTER",11-07-2019,https://www.imsnsit.org/imsnsit/plum_url.php?rNyC97oEDcZPUILXM6jKeZgLvddRJyaLvFAuCdA9T7EZTSaNfGCVRN66Mv12lhyQIEXvMvR+jv8ACNxJzpdOFQFfGaX2rlfWib6jSsdnCpgT6qktHnz0xsz6QxoY/0imk8k3w5CUz3aKgJiQw36wRj0bcXT8VylUaujEhAUH+t0uAqZhvdNOMBF4LpK/Du1x
12,"Merit-cum-Means Linked Financial Assistance SchemePublished By:  HIMANSHU SINGHAL, CIMS COORDINATOR1, CENTRAL COMPUTER CENTER",09-07-2019,https://www.imsnsit.org/imsnsit/plum_url.php?/FGjWDjMr8MD6o1XOY3t/gTO2IlUq2AK+Ypa/nWEH8+KBTjV/wKtUCdZmruirC5/K5XYT3TZnci0Zr6bMM7wGem72NHeOqyRP1LTNefmdGWjAHh7c+ip/67ITADvP4SjidRR3rNDRQuCuOrmMBE2NiWuBE8C3fitT4SOUtNtr00jDs9kJzSrWtWwlBGMC3eJQwSbbhaaQff12RVPTTRlTg==
13,"Training for CUMS Modules for LTC and CEA to all Administration Officers/Officials/ Dealing AssistantsPublished By:  SURESH SARAF, ASST REGISTRAR-1, ESTABLISHMENT SECTION",05-07-2019,https://www.imsnsit.org/imsnsit/plum_url.php?CXQnlcD+bJv6jAj8vlkCdPLTAg1zKIh4JposL43QPUgJOwrsNimpkaiDl+kkwafKnWJ80rhAtvimzoowcj70cGIaCxBheEv6x0H/LqtjWY6eyKOkpXc4pjF8+C41xHTQcvNXwFtXoAFbGgoKt4FPeG720KGpNuHZYAZRJtpAJRdIXR5w3ePaythJsLxi7gOo
14,"GH-1 Allotment list for 2nd , 3rd , and 4th yearPublished By:  SHWETA GAUTAM, HOSTEL WARDEN, ELECTRONICS AND COMMUNICATION ENGINEERING",04-07-2019,https://www.imsnsit.org/imsnsit/plum_url.php?DGaOwG9WbjiBmlzr+tnFI4swU28lq9eWHI2WJthAEhpvV6f2L2B/kLYaAJR80NC+SaRr+LZKK7CjAEJMjidQ2V4nnYbEmfKEXkvV5JPwiLRvsNfkcXgXxJy34FaBBHUKrVreAx2s1n0KMInu7UDGCa9oXYsKJnaf0b74q9xHfM64BUaVLYkG+27zXyOYBjXhMPTQDt1oJXUTg+39M3yASw==
15,"FEE NOTICEPublished By:  HIMANSHU SINGHAL, CENTRAL COMPUTER CENTER",03-07-2019,https://www.imsnsit.org/imsnsit/plum_url.php?Cd7FS+N8VJmRaKF4GHe7NGeDOQAnRYNJoourip7FYSSVuYIw4uh+vQZT29K8rXDs7qFY/tN86JvzVM64by16Yn/PBgoaJojBFcP9sdlWV4SCKYzCoBUaqGWOtLpBwFGSulPSuMa0zzhW6LffeCpRmbIMX3oBqhQQT+uo0l8Ih2uMwHf4RM3wEL+U2oHAOBPz
16,"Time table for the III sem Odd Semester 2019 for Foundation Elective CoursesPublished By:  PREETI KAUR, ASSOCIATE PROFESSOR, COMPUTER ENGINEERING",02-07-2019,https://www.imsnsit.org/imsnsit/plum_url.php?C7c7/Bn0grxnoZLrWqz5Fsz+KN7NIstoU/hI4TBeF+y21g/jY+HMSn0reJP4ibaTn33Eez6shrAxOA7Wx/fbslKkGUe+dP3AdswuR6jPKvsSKp2c/WdvZXr86FUqf87ACZC2OWHb9DTpOvYL62UQ6davO5hOkFS6rAce290ce+ajeSDlu/sqb53AJE7WFLdgUD7QvT5TSkxDymYZ654a3fV0FU9oQ7KoGQZs8mXsy9Fo1D0Yu0dEbYesgMTghouE
17,"Annual Fee for 2019-20Published By:  HIMANSHU SINGHAL, CENTRAL COMPUTER CENTER",28-06-2019,https://www.imsnsit.org/imsnsit/plum_url.php?NBLdby6pmZnZ8vyFfhyXGcp1tDAKaBPgRHY58MlhDr+eGRcoC/iX5da6VnG+4LQAkrnJptHPjc4IXj6E67eZQzdDCfhX2pp/5KVvcOp7ykTF2g4/dG9U8jLs/cd8RJdGTbK4FT80FSz6CBVGv35JzlQj1usc0dXgbJCvjJByUK39JEBDM54XiiZ1WLFS+FF2
18,"Information Regarding Hostel Room Allotment For FIRST YEAR Students (Academic Session 2019-20)Published By: PROF SHREE PRAKASH SINGH, CHIEF WARDEN, HOSTEL",28-06-2019,https://www.imsnsit.org/imsnsit/plum_url.php?Xmj9JNykKBSsZjOWDRyul+h4mkzw0PtN3+hkzTtXG7EDdl2TnuaCJ7zzLZJ5JChHwj7t3iVOEJpduFez7/2dGz8mHPf7TMv8NNCzYRW9uoyDZdVcG/2SboQgynvvkRFtI3GcEpwcQQNd39KEjCzDQqOXLCKalufAIdxfDgMsHEiqBfzJiEEpR24eUFZEni/qXopsW5X+nAFT4DlNDiKS1iNYzmLPWBqwyLPttKLJRG8=
19,"Hostel allotment of II III and IV year students in academic year 2019-20Published By: PROF SHREE PRAKASH SINGH, CHIEF WARDEN, HOSTEL",26-06-2019,https://www.imsnsit.org/imsnsit/plum_url.php?D6s1d7oSnyyLCbkBzArkmPhD+jCDBF1qSh1hYmmZY+u2CUlFkPhSqB2jvlhRGz+hym68Pqh2LJSeEj7td+tAw2GkKakkmsKL6Yqd0fmCIBM6p2qcl2de1SPw20tda0jU3V79GHC6KsnLrFhIs1QFl6dFhmrp5AWi3WszzD3kdpyBG4tMVJ+Kfaqt7H8xmqaJSNKWhRFdUp4r89cPOfwdj5aZljQm5HzM9SxkwC5n94mhEXoJ77lZZShYC+M8dtol1ezoy+UVNTt6MaYal1MNGg==
